Date,WMT,FB
7/14/2015,69.212822,89.68
7/15/2015,69.081512,89.760002
7/16/2015,69.250343,90.849998
7/17/2015,68.837639,94.970001
7/20/2015,68.565613,97.910004
7/21/2015,68.227936,98.389999
7/22/2015,68.621918,97.040001
7/23/2015,68.012222,95.440002
7/24/2015,67.1399,96.949997
7/27/2015,66.952309,94.169998
7/28/2015,67.627647,95.290001
7/29/2015,67.749596,96.989998
7/30/2015,67.683952,95.209999
7/31/2015,67.515091,94.010002
8/3/2015,67.70269,94.139999
8/4/2015,67.768349,94.059998
8/5/2015,69.421005,96.440002
8/6/2015,68.741058,95.120003
8/7/2015,67.286713,94.300003
8/10/2015,67.503922,94.150002
8/11/2015,67.928886,93.620003
8/12/2015,68.542747,94.190002
8/13/2015,68.098869,93.43
8/14/2015,68.353851,94.419998
8/17/2015,67.910011,93.93
8/18/2015,65.615189,95.169998
8/19/2015,64.755783,95.309998
8/20/2015,64.623581,90.559998
8/21/2015,62.838707,86.059998
8/24/2015,60.392776,82.089996
8/25/2015,59.590061,83
8/26/2015,61.223827,87.190002
8/27/2015,62.404308,89.730003
8/28/2015,61.327717,91.010002
8/31/2015,61.129391,89.43
9/1/2015,60.270012,87.230003
9/2/2015,60.855526,89.889999
9/3/2015,61.252159,88.150002
9/4/2015,60.336117,88.260002
9/8/2015,62.687599,89.529999
9/9/2015,61.497704,90.440002
9/10/2015,60.553329,91.980003
9/11/2015,61.053837,92.050003
9/14/2015,60.704414,92.309998
9/15/2015,60.742195,92.900002
9/16/2015,61.091621,93.449997
9/17/2015,60.883858,94.339996
9/18/2015,59.816711,94.400002
9/21/2015,60.175579,95.550003
9/22/2015,60.052803,92.959999
9/23/2015,60.175579,93.970001
9/24/2015,60.279453,94.410004
9/25/2015,60.232231,92.769997
9/28/2015,60.118908,89.209999
9/29/2015,60.232231,86.669998
9/30/2015,61.233265,89.900002
10/1/2015,60.694973,90.949997
10/2/2015,61.365482,92.07
10/5/2015,62.205982,94.010002
10/6/2015,62.02655,92.800003
10/7/2015,62.668728,92.400002
10/8/2015,63.159798,92.470001
10/9/2015,62.980366,93.239998
10/12/2015,63.207008,94.260002
10/13/2015,63.018143,94.120003
10/14/2015,56.690826,94.07
10/15/2015,56.029766,95.959999
10/16/2015,55.614239,97.540001
10/19/2015,55.576466,98.470001
10/20/2015,55.482029,97
10/21/2015,55.378147,97.110001
10/22/2015,55.623688,99.669998
10/23/2015,55.057056,102.190002
10/26/2015,54.792629,103.769997
10/27/2015,54.282669,103.699997
10/28/2015,54.433773,104.199997
10/29/2015,54.73597,104.879997
10/30/2015,54.056023,101.970001
11/2/2015,54.405437,103.309998
11/3/2015,54.877621,102.580002
11/4/2015,55.123165,103.940002
11/5/2015,55.349819,108.760002
11/6/2015,55.510361,107.099998
11/9/2015,55.236496,106.489998
11/10/2015,55.41592,107.910004
11/11/2015,54.377117,109.010002
11/12/2015,53.782158,108.019997
11/13/2015,53.281635,103.949997
11/16/2015,54.650978,104.040001
11/17/2015,56.586945,105.129997
11/18/2015,57.540764,107.769997
11/19/2015,57.323555,106.260002
11/20/2015,56.728603,107.32
11/23/2015,56.908035,106.949997
11/24/2015,56.586945,105.739998
11/25/2015,56.889145,105.410004
11/27/2015,56.55862,105.449997
11/30/2015,55.567024,104.239998
12/1/2015,55.708679,107.120003
12/2/2015,55.565834,106.07
12/3/2015,56.222916,104.379997
12/4/2015,56.813332,106.18
12/7/2015,57.613251,105.610001
12/8/2015,56.765717,106.489998
12/9/2015,56.30862,104.599998
12/10/2015,56.718102,105.419998
12/11/2015,56.527645,102.120003
12/14/2015,57.508495,104.660004
12/15/2015,56.794289,104.550003
12/16/2015,57.422794,106.790001
12/17/2015,56.165771,106.220001
12/18/2015,56.041981,104.040001
12/21/2015,56.708576,104.769997
12/22/2015,57.65134,105.510002
12/23/2015,58.175098,104.629997
12/24/2015,57.927505,105.019997
12/28/2015,57.851322,105.93
12/29/2015,58.670292,107.260002
12/30/2015,58.736946,106.220001
12/31/2015,58.375072,104.660004
1/4/2016,58.527439,102.220001
1/5/2016,59.917782,102.730003
1/6/2016,60.517719,102.970001
1/7/2016,61.927097,97.919998
1/8/2016,60.508198,97.330002
1/11/2016,61.15575,97.510002
1/12/2016,60.584377,99.370003
1/13/2016,58.965496,95.440002
1/14/2016,60.051102,98.370003
1/15/2016,58.975018,94.970001
1/19/2016,59.574959,95.260002
1/20/2016,57.937027,94.349998
1/21/2016,58.927406,94.160004
1/22/2016,59.698757,97.940002
1/25/2016,60.422489,97.010002
1/26/2016,60.946247,97.339996
1/27/2016,60.898632,94.449997
1/28/2016,61.15575,109.110001
1/29/2016,63.193642,112.209999
2/1/2016,64.279243,115.089996
2/2/2016,63.669788,114.610001
2/3/2016,63.107933,112.690002
2/4/2016,63.250774,110.489998
2/5/2016,63.803104,104.07
2/8/2016,63.70787,99.75
2/9/2016,62.669888,99.540001
2/10/2016,62.650837,101
2/11/2016,62.203259,101.910004
2/12/2016,63.022236,102.010002
2/16/2016,62.755589,101.610001
2/17/2016,62.955566,105.199997
2/18/2016,61.060524,103.470001
2/19/2016,61.57476,104.57
2/22/2016,62.498466,107.160004
2/23/2016,63.307922,105.459999
2/24/2016,63.917377,106.879997
2/25/2016,64.79348,108.07
2/26/2016,63.336487,107.919998
2/29/2016,63.174595,106.919998
3/1/2016,63.288868,109.82
3/2/2016,63.0508,109.949997
3/3/2016,62.984138,109.580002
3/4/2016,63.593605,108.389999
3/7/2016,64.650642,105.730003
3/8/2016,64.79348,105.93
3/9/2016,64.783882,107.510002
3/10/2016,64.66877,107.32
3/11/2016,64.438522,109.410004
3/14/2016,64.620796,109.889999
3/15/2016,65.321106,110.669998
3/16/2016,65.225174,112.18
3/17/2016,64.707138,111.019997
3/18/2016,64.227463,111.449997
3/21/2016,65.206001,111.849998
3/22/2016,65.110062,112.25
3/23/2016,64.716728,112.540001
3/24/2016,65.234764,113.050003
3/28/2016,65.349892,113.690002
3/29/2016,65.26355,116.139999
3/30/2016,66.002243,114.699997
3/31/2016,65.704842,114.099998
4/1/2016,66.251678,116.059998
4/4/2016,66.290039,112.550003
4/5/2016,65.84874,112.220001
4/6/2016,66.232483,113.709999
4/7/2016,65.445824,113.639999
4/8/2016,65.292336,110.629997
4/11/2016,64.659164,108.989998
4/12/2016,66.002243,110.610001
4/13/2016,66.338013,110.510002
4/14/2016,66.002243,110.839996
4/15/2016,66.251678,109.639999
4/18/2016,67.019135,110.449997
